Close,High,Low,Open,Volume
^KLSE,^KLSE,^KLSE,^KLSE,^KLSE
903.8400268554688,907.02001953125,897.1300048828125,907.02001953125,0
902.489990234375,904.4400024414062,897.77001953125,900.6799926757812,0
907.9600219726562,908.8599853515625,901.7000122070312,901.7000122070312,0
910.4199829101562,912.0800170898438,907.010009765625,907.9500122070312,0
916.280029296875,918.5599975585938,909.8400268554688,910.9000244140625,102465200
919.02001953125,919.72998046875,915.7999877929688,917.4199829101562,0
930.6300048828125,931.0399780273438,919.2000122070312,919.9600219726562,0
933.3300170898438,934.1799926757812,929.3900146484375,931.27001953125,115094100
934.0999755859375,935.3300170898438,929.3599853515625,934.010009765625,99247100
929.739990234375,933.0900268554688,926.6400146484375,932.8300170898438,0
932.260009765625,935.1699829101562,929.1900024414062,929.4199829101562,0
937.5599975585938,937.5599975585938,931.5999755859375,932.5,0
935.530029296875,940.9400024414062,934.989990234375,940.2100219726562,92002200
929.719970703125,936.969970703125,926.9400024414062,936.7999877929688,91046800
923.3300170898438,926.6500244140625,919.2999877929688,926.6500244140625,86067800
919.75,925.489990234375,917.989990234375,921.8699951171875,80317200
923.3699951171875,923.8499755859375,920.0599975585938,920.8599853515625,62589600
919.9500122070312,924.1599731445312,916.72998046875,923.7999877929688,67187000
917.22998046875,918.97998046875,912.77001953125,918.969970703125,63477600
916.27001953125,919.3900146484375,913.3699951171875,915.4099731445312,71542400
918.510009765625,920.030029296875,913.739990234375,917.7999877929688,105113200
917.8499755859375,919.47998046875,914.2999877929688,916.280029296875,76132800
907.52001953125,917.0499877929688,907.52001953125,917.0499877929688,84671400
912.5800170898438,912.6500244140625,908.22998046875,908.8300170898438,68144800
914.9099731445312,914.9500122070312,911.5700073242188,911.8699951171875,37158800
920.3099975585938,920.989990234375,915.1699829101562,915.22998046875,69619200
921.7100219726562,921.7100219726562,916.6400146484375,919.3699951171875,62343200
919.4299926757812,922.1099853515625,917.1400146484375,920.7100219726562,70383000
912.6199951171875,920.8099975585938,912.6199951171875,919.47998046875,96836000
