Open,High,Low,Close,Volume
1613.43994140625,1623.8900146484375,1613.050048828125,1623.8900146484375,201224100
1628.43994140625,1629.68994140625,1619.260009765625,1619.9599609375,185279400
1617.719970703125,1618.8599853515625,1614.5999755859375,1617.5699462890625,203131600
1620.1400146484375,1621.260009765625,1609.8800048828125,1618.780029296875,489576500
1619.5400390625,1620.989990234375,1611.25,1611.739990234375,181857200
1616.1300048828125,1624.969970703125,1614.4100341796875,1624.5,224037400
1627.1600341796875,1629.260009765625,1615.969970703125,1617.4599609375,207334000
1616.75,1617.260009765625,1597.6800537109375,1604.469970703125,277401500
1608.260009765625,1625.4200439453125,1608.260009765625,1624.5699462890625,197661800
1627.0699462890625,1634.3499755859375,1624.469970703125,1630.5999755859375,262521100
1631.4599609375,1632.949951171875,1617.7900390625,1622.8399658203125,151137200
1624.6300048828125,1625.989990234375,1616.489990234375,1621.0699462890625,182264300
1620.699951171875,1621.25,1609.6700439453125,1616.52001953125,159772100
1616.030029296875,1616.489990234375,1601.5,1612.780029296875,151561400
1619.1400146484375,1620.72998046875,1606.22998046875,1614.1700439453125,176320100
1611.0400390625,1612.5,1606.1099853515625,1611.0,134862500
1612.8599853515625,1625.3900146484375,1609.9599609375,1625.3900146484375,203357400
1622.56005859375,1640.3599853515625,1622.030029296875,1637.81005859375,202172000
1635.0799560546875,1644.050048828125,1632.5400390625,1643.719970703125,166903100
1642.77001953125,1648.7099609375,1636.5,1648.31005859375,180710600
1645.3199462890625,1646.6600341796875,1639.1300048828125,1641.43994140625,190602200
1640.22998046875,1647.800048828125,1636.6099853515625,1646.9000244140625,202204600
1648.050048828125,1668.1500244140625,1647.5999755859375,1665.9000244140625,290716800
1664.280029296875,1671.2900390625,1663.1199951171875,1671.2900390625,151411900
1668.780029296875,1676.6400146484375,1666.9599609375,1676.6400146484375,137369300
1676.0,1678.8499755859375,1673.6400146484375,1678.31005859375,154290900
1677.5,1678.2900390625,1670.8299560546875,1677.0999755859375,95594100
1677.31005859375,1680.989990234375,1668.47998046875,1680.989990234375,130192300
1677.6600341796875,1684.530029296875,1673.8699951171875,1684.530029296875,150847100
