Sequence_Days,Accuracy,Precision,Recall,F1_score
30,0.4912109375,0.4912109375,1.0,0.6588081204977079
60,0.4931237721021611,0.4931237721021611,1.0,0.6605263157894737
90,0.49407114624505927,0.49407114624505927,1.0,0.6613756613756614
